modality,task,fold,candidate_id,audit_n,anchor_positive_coverage,mean_positive_count,train_subject_count,class0_count,class1_count,passed
EMG,valence,5,A4_rating_distance_guarded_supcon,512,1.0,134.125,53,224,288,True
EMG,valence,6,A4_rating_distance_guarded_supcon,512,1.0,139.08984375,53,214,298,True
EMG,arousal,1,A4_rating_distance_guarded_supcon,512,1.0,147.53515625,52,279,233,True
EMG,arousal,2,A4_rating_distance_guarded_supcon,512,1.0,147.6171875,52,279,233,True
EMG,arousal,3,A4_rating_distance_guarded_supcon,512,1.0,150.27734375,52,285,227,True
EMG,arousal,4,A4_rating_distance_guarded_supcon,512,1.0,152.0078125,53,292,220,True
EMG,arousal,5,A4_rating_distance_guarded_supcon,512,1.0,147.19140625,53,277,235,True
EMG,arousal,6,A4_rating_distance_guarded_supcon,512,1.0,145.05859375,53,270,242,True
EEG,valence,1,A6_vrex_only_recheck,512,0.0,0.0,52,196,316,True
EEG,valence,2,A6_vrex_only_recheck,512,0.0,0.0,52,192,320,True
EEG,valence,3,A6_vrex_only_recheck,512,0.0,0.0,52,211,301,True
EEG,valence,4,A6_vrex_only_recheck,512,0.0,0.0,53,213,299,True
EEG,valence,5,A6_vrex_only_recheck,512,0.0,0.0,53,224,288,True
EEG,valence,6,A6_vrex_only_recheck,512,0.0,0.0,53,214,298,True
EEG,arousal,1,A6_vrex_only_recheck,512,0.0,0.0,52,279,233,True
EEG,arousal,2,A6_vrex_only_recheck,512,0.0,0.0,52,279,233,True
EEG,arousal,3,A6_vrex_only_recheck,512,0.0,0.0,52,285,227,True
EEG,arousal,4,A6_vrex_only_recheck,512,0.0,0.0,53,292,220,True
EEG,arousal,5,A6_vrex_only_recheck,512,0.0,0.0,53,277,235,True
EEG,arousal,6,A6_vrex_only_recheck,512,0.0,0.0,53,270,242,True
EMG,valence,1,A6_vrex_only_recheck,512,0.0,0.0,52,196,316,True
EMG,valence,2,A6_vrex_only_recheck,512,0.0,0.0,52,192,320,True
EMG,valence,3,A6_vrex_only_recheck,512,0.0,0.0,52,211,301,True
EMG,valence,4,A6_vrex_only_recheck,512,0.0,0.0,53,213,299,True
EMG,valence,5,A6_vrex_only_recheck,512,0.0,0.0,53,224,288,True
EMG,valence,6,A6_vrex_only_recheck,512,0.0,0.0,53,214,298,True
EMG,arousal,1,A6_vrex_only_recheck,512,0.0,0.0,52,279,233,True
EMG,arousal,2,A6_vrex_only_recheck,512,0.0,0.0,52,279,233,True
EMG,arousal,3,A6_vrex_only_recheck,512,0.0,0.0,52,285,227,True
EMG,arousal,4,A6_vrex_only_recheck,512,0.0,0.0,53,292,220,True
EMG,arousal,5,A6_vrex_only_recheck,512,0.0,0.0,53,277,235,True
EMG,arousal,6,A6_vrex_only_recheck,512,0.0,0.0,53,270,242,True
EEG,valence,1,A5_cross_subject_supcon_vrex,512,1.0,263.9921875,52,196,316,True
EEG,valence,2,A5_cross_subject_supcon_vrex,512,1.0,266.01171875,52,192,320,True
EEG,valence,3,A5_cross_subject_supcon_vrex,512,1.0,258.203125,52,211,301,True
EEG,valence,4,A5_cross_subject_supcon_vrex,512,1.0,257.76171875,53,213,299,True
EEG,valence,5,A5_cross_subject_supcon_vrex,512,1.0,254.3203125,53,224,288,True
EEG,valence,6,A5_cross_subject_supcon_vrex,512,1.0,257.27734375,53,214,298,True
EEG,arousal,1,A5_cross_subject_supcon_vrex,512,1.0,251.9296875,52,279,233,True
EEG,arousal,2,A5_cross_subject_supcon_vrex,512,1.0,251.83203125,52,279,233,True
EEG,arousal,3,A5_cross_subject_supcon_vrex,512,1.0,253.08984375,52,285,227,True
EEG,arousal,4,A5_cross_subject_supcon_vrex,512,1.0,255.0625,53,292,220,True
EEG,arousal,5,A5_cross_subject_supcon_vrex,512,1.0,251.51171875,53,277,235,True
EEG,arousal,6,A5_cross_subject_supcon_vrex,512,1.0,250.734375,53,270,242,True
EMG,valence,1,A5_cross_subject_supcon_vrex,512,1.0,263.9921875,52,196,316,True
EMG,valence,2,A5_cross_subject_supcon_vrex,512,1.0,266.01171875,52,192,320,True
EMG,valence,3,A5_cross_subject_supcon_vrex,512,1.0,258.203125,52,211,301,True
EMG,valence,4,A5_cross_subject_supcon_vrex,512,1.0,257.76171875,53,213,299,True
EMG,valence,5,A5_cross_subject_supcon_vrex,512,1.0,254.3203125,53,224,288,True
EMG,valence,6,A5_cross_subject_supcon_vrex,512,1.0,257.27734375,53,214,298,True
EMG,arousal,1,A5_cross_subject_supcon_vrex,512,1.0,251.9296875,52,279,233,True
EMG,arousal,2,A5_cross_subject_supcon_vrex,512,1.0,251.83203125,52,279,233,True
EMG,arousal,3,A5_cross_subject_supcon_vrex,512,1.0,253.08984375,52,285,227,True
EMG,arousal,4,A5_cross_subject_supcon_vrex,512,1.0,255.0625,53,292,220,True
EMG,arousal,5,A5_cross_subject_supcon_vrex,512,1.0,251.51171875,53,277,235,True
EMG,arousal,6,A5_cross_subject_supcon_vrex,512,1.0,250.734375,53,270,242,True
