target,k_calibration,model,metric,pooled_rmse,pooled_residual_rmse,pooled_lift_vs_stimulus_rmse,pooled_lift_vs_stimulus_residual_rmse,pearson,ccc,subjects,mean_improvement_stimulus_minus_model,median_improvement_stimulus_minus_model,ci95_low_mean_improvement,ci95_high_mean_improvement,signflip_p_one_sided_mean_gt_zero,wins,losses,ties,win_margin,sign_test_p_one_sided_wins_gt_losses,passes_confirmatory_metric
arousal,1,stimulus_only,rmse,1.943580311265649,1.943580311265649,0.0,0.0,0.6346352666871025,0.5796193431867805,63,0.000736604682518714,0.0006521311144565001,0.00013654724346996125,0.0013133067968810227,0.009549522523873807,40,23,0,17,0.021478272762194606,False
arousal,1,stimulus_only,residual_rmse,1.943580311265649,1.943580311265649,0.0,0.0,0.6346352666871025,0.5796193431867805,63,0.000736604682518714,0.0006521311144565001,0.00013485512433467824,0.001312839890920554,0.00904954752262387,40,23,0,17,0.021478272762194606,False
arousal,1,stimulus_plus_fewshot_bias,rmse,2.398344456618241,2.398344456618241,-0.4547641453525917,-0.4547641453525917,0.5511373547676176,0.551088219219355,63,-0.45164360758098243,-0.5461812429750494,-0.5581597583886438,-0.33520791661153687,1.0,7,56,0,-49,0.9999999999918021,False
arousal,1,stimulus_plus_fewshot_bias,residual_rmse,2.398344456618241,2.398344456618241,-0.4547641453525917,-0.4547641453525917,0.5511373547676176,0.551088219219355,63,-0.4516436075809825,-0.5461812429750494,-0.5569719705302097,-0.3344491584030505,1.0,7,56,0,-49,0.9999999999918021,False
arousal,1,stimulus_plus_fewshot_bias_shrink4,rmse,1.8856244849652,1.8856244849652,0.0579558263004493,0.0579558263004493,0.6615763160167337,0.6107553469438731,63,0.046705336758446916,-0.0036431332059638777,0.018700082596755145,0.0782045446695792,0.0012499375031248437,30,33,0,-3,0.6926724921172691,False
arousal,1,stimulus_plus_fewshot_bias_shrink4,residual_rmse,1.8856244849652,1.8856244849652,0.0579558263004493,0.0579558263004493,0.6615763160167337,0.6107553469438731,63,0.04670533675844688,-0.0036431332059638777,0.0185515267465184,0.07810298310106667,0.0008499575021248938,30,33,0,-3,0.6926724921172691,False
arousal,2,stimulus_only,rmse,1.944653022548218,1.944653022548218,0.0,0.0,0.6340916369284786,0.5792339259742373,63,-0.00029065278524408023,-0.0003404250405656395,-0.0013598264607196842,0.0007803538003856262,0.7020648967551623,28,35,0,-7,0.8432484733517736,False
arousal,2,stimulus_only,residual_rmse,1.944653022548218,1.944653022548218,0.0,0.0,0.6340916369284786,0.5792339259742373,63,-0.00029065278524408023,-0.0003404250405656395,-0.001366066322679582,0.0007881027611299972,0.7014149292535373,28,35,0,-7,0.8432484733517736,False
arousal,2,stimulus_plus_fewshot_bias,rmse,2.07068990830171,2.07068990830171,-0.1260368857534921,-0.1260368857534921,0.624856958928316,0.6203808351249873,63,-0.131469086934893,-0.25671787796070533,-0.2299709233265947,-0.02226131813628833,0.9926503674816259,16,47,0,-31,0.9999811969393373,False
arousal,2,stimulus_plus_fewshot_bias,residual_rmse,2.07068990830171,2.07068990830171,-0.1260368857534921,-0.1260368857534921,0.624856958928316,0.6203808351249873,63,-0.131469086934893,-0.25671787796070533,-0.2289020586595641,-0.021363482378071435,0.992200389980501,16,47,0,-31,0.9999811969393373,False
arousal,2,stimulus_plus_fewshot_bias_shrink4,rmse,1.8521755590725848,1.8521755590725848,0.0924774634756331,0.0924774634756331,0.6763031643818384,0.628602441145812,63,0.07586431317421118,0.0033102395857183,0.0319158362202782,0.12596223112374805,0.00039998000099995,33,30,0,3,0.4006532462520331,True
arousal,2,stimulus_plus_fewshot_bias_shrink4,residual_rmse,1.8521755590725848,1.8521755590725848,0.0924774634756331,0.0924774634756331,0.6763031643818384,0.628602441145812,63,0.07586431317421118,0.0033102395857183,0.03303383405841382,0.12496752589976459,0.0006999650017499125,33,30,0,3,0.4006532462520331,True
arousal,4,stimulus_only,rmse,1.9440907495519064,1.9440907495519064,0.0,0.0,0.634464865289639,0.5794717325939869,63,-0.0002741690610356576,0.00016893891068359146,-0.0015786723016756577,0.0010500795325751044,0.655867206639668,32,31,0,1,0.5,False
arousal,4,stimulus_only,residual_rmse,1.9440907495519064,1.9440907495519064,0.0,0.0,0.634464865289639,0.5794717325939869,63,-0.0002741690610356576,0.00016893891068359146,-0.0015538554362765887,0.0010382396187586687,0.6598170091495426,32,31,0,1,0.5,False
arousal,4,stimulus_plus_fewshot_bias,rmse,1.8864814645423795,1.8864814645423795,0.0576092850095271,0.0576092850095271,0.676698899796062,0.66367378777374,63,0.047874678631519285,-0.09312336770857055,-0.04138813179375401,0.15281853146570046,0.18114094295285235,23,40,0,-17,0.9887125136633714,False
arousal,4,stimulus_plus_fewshot_bias,residual_rmse,1.8864814645423795,1.8864814645423795,0.0576092850095271,0.0576092850095271,0.676698899796062,0.66367378777374,63,0.04787467863151929,-0.09312336770857055,-0.04412296831661354,0.1547645379649486,0.18039098045097746,23,40,0,-17,0.9887125136633714,False
arousal,4,stimulus_plus_fewshot_bias_shrink4,rmse,1.8063047413980169,1.8063047413980169,0.1377860081538895,0.1377860081538895,0.6957376491633186,0.6520875798890854,63,0.11964351641641706,0.019884403311341448,0.057433056296252984,0.19054950725769335,0.00024998750062496874,35,28,0,7,0.22498126814511124,True
