target,model,test_subject,n,mae,rmse,pearson,spearman,ccc,balanced_accuracy,macro_f1,auroc,dev_rmse,dev_mae,dev_pearson,dev_spearman,dev_sign_acc,pred_dev_std
valence,stimulus_only,1,32,0.9949596774193548,1.2045860597907678,0.8922484634653423,0.8852213172599906,0.8696574444021503,0.875,0.8423645320197044,0.93125,1.204586059790768,0.994959677419355,,,0.0,0.0
valence,stimulus_only,2,32,1.2086693548387097,1.5487178326209212,0.8530610427473128,0.8036062294190673,0.8155188676443325,0.8947368421052632,0.8745098039215686,0.8987854251012146,1.5487178326209212,1.2086693548387097,,,0.0,0.0
valence,stimulus_only,3,32,1.0554435483870968,1.1964804330363776,0.8980289713149182,0.8938103224205145,0.8791629847348005,0.875,0.8423645320197044,0.9708333333333333,1.1964804330363776,1.0554435483870968,,,0.0,0.0
valence,stimulus_only,5,32,1.2268145161290323,1.4945269559497258,0.8646215886593648,0.8429278417012366,0.8302088014852526,0.90625,0.906158357771261,0.96875,1.4945269559497258,1.2268145161290325,,,0.0,0.0
valence,stimulus_only,6,32,1.045866935483871,1.1570929690036984,0.9562877492680013,0.9488688459347856,0.9046669303375,0.9411764705882353,0.9375,0.984313725490196,1.1570929690036986,1.045866935483871,,,0.0,0.0
valence,stimulus_only,7,32,0.6224798387096775,0.7714954244234683,0.9432491857811657,0.9453048098417813,0.9293617423621147,0.875,0.8423645320197044,0.9958333333333333,0.7714954244234683,0.6224798387096775,,,0.0,0.0
valence,stimulus_only,8,32,0.830141129032258,1.0246974566824736,0.9426106711880112,0.9277093877462874,0.9135909924133965,0.96875,0.9687194525904204,1.0,1.0246974566824736,0.830141129032258,,,0.0,0.0
valence,stimulus_only,9,32,0.9334677419354838,1.1748826518327367,0.9116655521799994,0.8672483250928812,0.8810468249308884,0.8583333333333334,0.8398398398398399,0.9708333333333333,1.1748826518327367,0.9334677419354838,,,0.0,0.0
valence,stimulus_only,10,32,0.7928427419354838,1.0004185843498665,0.9107396566122342,0.9024685704478604,0.9061770169472151,0.875,0.8423645320197044,0.9666666666666667,1.0004185843498665,0.7928427419354838,,,0.0,0.0
valence,stimulus_only,11,32,1.206149193548387,1.4491157957492957,0.913970533877195,0.8917297264444277,0.8562630044965631,0.9166666666666667,0.906158357771261,0.9642857142857143,1.4491157957492957,1.206149193548387,,,0.0,0.0
valence,stimulus_only,12,32,0.9526209677419355,1.1831362535147223,0.8509681823754512,0.8642873619265344,0.8349318830868163,0.9166666666666667,0.906158357771261,0.9523809523809523,1.1831362535147223,0.9526209677419355,,,0.0,0.0
valence,stimulus_only,13,32,0.8724798387096775,1.0503664627335452,0.9094177817342244,0.9217409851300047,0.8684386106711681,0.8571428571428572,0.8095238095238095,0.9653679653679653,1.0503664627335452,0.8724798387096774,,,0.0,0.0
valence,stimulus_only,14,32,0.752016129032258,0.8964680958217212,0.9288122352606669,0.9113516159009858,0.9189134487437577,0.8947368421052632,0.8745098039215686,0.9574898785425101,0.8964680958217212,0.752016129032258,,,0.0,0.0
valence,stimulus_only,15,32,0.856350806451613,1.1124100414937979,0.869677592471072,0.8593470389204451,0.8442346656842881,0.8409090909090908,0.7757757757757757,0.8954545454545455,1.1124100414937979,0.856350806451613,,,0.0,0.0
valence,stimulus_only,16,32,0.7721774193548387,1.0159129954676442,0.9040955298049769,0.8539668556320058,0.885105083227183,0.8299595141700404,0.8117647058823529,0.8947368421052632,1.0159129954676442,0.7721774193548387,,,0.0,0.0
valence,stimulus_only,17,32,1.0090725806451613,1.1960522994491878,0.8972372737605019,0.8924429060909542,0.8781456770203968,0.9166666666666667,0.906158357771261,0.9503968253968254,1.1960522994491878,1.0090725806451613,,,0.0,0.0
valence,stimulus_only,18,32,1.4475806451612905,1.8032716105902833,0.7911350468931309,0.792449445668865,0.7528726906301207,0.8299595141700404,0.8117647058823529,0.9352226720647774,1.8032716105902833,1.4475806451612905,,,0.0,0.0
valence,stimulus_only,19,32,1.028225806451613,1.3182709089508333,0.8114687737086331,0.8097518048241787,0.804830082943654,0.8531746031746033,0.8435972629521017,0.9484126984126984,1.3182709089508333,1.028225806451613,,,0.0,0.0
valence,stimulus_only,20,32,0.7580645161290323,1.0229465993184748,0.9210161615627016,0.9032779543088524,0.9010250015330521,0.8571428571428572,0.8095238095238095,0.9307359307359307,1.0229465993184748,0.7580645161290323,,,0.0,0.0
valence,stimulus_only,21,32,0.8966733870967741,1.0523150671354522,0.9488592363701719,0.9378847772238772,0.9143113263926022,0.8947368421052632,0.8745098039215686,0.9919028340080972,1.0523150671354522,0.8966733870967741,,,0.0,0.0
valence,stimulus_only,22,32,1.0065524193548387,1.1928363994523645,0.8512104180693018,0.8460132068763729,0.8357956834950845,0.8571428571428572,0.8095238095238095,0.9199134199134199,1.1928363994523645,1.0065524193548387,,,0.0,0.0
valence,stimulus_only,23,32,0.8432459677419354,1.045968830053902,0.915172848252118,0.9103602089950322,0.9023676269428699,0.9166666666666667,0.906158357771261,0.9841269841269841,1.045968830053902,0.8432459677419354,,,0.0,0.0
valence,stimulus_only,24,32,0.9450604838709676,1.1811866652165217,0.8821665880400639,0.8493774186919627,0.8539065635681937,0.8409090909090908,0.7757757757757757,0.8772727272727273,1.181186665216522,0.9450604838709677,,,0.0,0.0
valence,stimulus_only,25,32,1.2711693548387097,1.5424217245211227,0.834384004555415,0.8657760368933196,0.8105737486987401,0.9166666666666667,0.906158357771261,0.9761904761904762,1.5424217245211227,1.2711693548387097,,,0.0,0.0
valence,stimulus_only,26,32,1.295866935483871,1.5439152284274675,0.8470860181155218,0.8255580336246294,0.8136406790864479,0.875,0.8423645320197044,0.9291666666666667,1.5439152284274675,1.295866935483871,,,0.0,0.0
